Location,Latitude,Longitude,SeverityScore,IncidentsTotal
POINT(-79.51438 43.62042),43.62,-79.514,0.012,54
POINT(-79.32588 43.72413),43.724,-79.326,0.052,47
POINT(-79.54858 43.61374),43.614,-79.549,0.028,184
POINT(-79.44269 43.69732),43.697,-79.443,0.037,33
POINT(-79.42393 43.74188),43.742,-79.424,0.008,74
POINT(-79.5555 43.6086),43.609,-79.555,0.022,89
POINT(-79.51708 43.61966),43.62,-79.517,0.006,31
POINT(-79.43707 43.73415),43.734,-79.437,0.005,58
POINT(-79.53611 43.72939),43.729,-79.536,0.177,295
POINT(-79.46226 43.74808),43.748,-79.462,0.029,39
POINT(-79.60355 43.71932),43.719,-79.604,0.083,117
POINT(-79.28331 43.77208),43.772,-79.283,0.087,113
POINT(-79.16025 43.77136),43.771,-79.16,0.036,3
POINT(-79.47581 43.69133),43.691,-79.476,0.011,3
POINT(-79.36477 43.68096),43.681,-79.365,0.002,3
POINT(-79.47412 43.78563),43.786,-79.474,0.007,3
POINT(-79.56878 43.71573),43.716,-79.569,0.004,3
POINT(-79.40011 43.71534),43.715,-79.4,0.008,3
POINT(-79.38605 43.66823),43.668,-79.386,0.03,4
POINT(-79.35709 43.68368),43.684,-79.357,0.009,4
POINT(-79.44507 43.71669),43.717,-79.445,0.006,4
POINT(-79.56609 43.7606),43.761,-79.566,0.003,4
POINT(-79.54971 43.75051),43.751,-79.55,0.008,4
POINT(-79.296 43.68952),43.69,-79.296,0.006,4
POINT(-79.59204 43.73686),43.737,-79.592,0.009,5
POINT(-79.31542 43.72069),43.721,-79.315,0.025,5
POINT(-79.39112 43.68112),43.681,-79.391,0.011,5
POINT(-79.45788 43.64907),43.649,-79.458,0.013,6
POINT(-79.56763 43.74649),43.746,-79.568,0.009,6
POINT(-79.59543 43.6969),43.697,-79.595,0.003,7
POINT(-79.60183 43.73064),43.731,-79.602,0.017,7
POINT(-79.29028 43.72722),43.727,-79.29,0.021,7
POINT(-79.52705 43.7386),43.739,-79.527,0.001,8
POINT(-79.3398 43.7677),43.768,-79.34,0.003,9
POINT(-79.32784 43.65926),43.659,-79.328,0.012,9
POINT(-79.5336 43.76753),43.768,-79.534,0.002,10
POINT(-79.60785 43.74417),43.744,-79.608,0.017,12
POINT(-79.5264 43.65191),43.652,-79.526,0.025,12
