,Location,Latitude,Longitude,SeverityScore,IncidentsTotal
1,POINT(-79.32588 43.72413),43.724,-79.326,0.052,47
2,POINT(-79.54858 43.61374),43.614,-79.549,0.028,184
3,POINT(-79.44269 43.69732),43.697,-79.443,0.037,33
5,POINT(-79.5555 43.6086),43.609,-79.555,0.022,89
8,POINT(-79.53611 43.72939),43.729,-79.536,0.177,295
9,POINT(-79.46226 43.74808),43.748,-79.462,0.029,39
10,POINT(-79.60355 43.71932),43.719,-79.604,0.083,117
11,POINT(-79.28331 43.77208),43.772,-79.283,0.087,113
37,POINT(-79.5264 43.65191),43.652,-79.526,0.025,12
38,POINT(-79.48457 43.73721),43.737,-79.485,0.051,12
39,POINT(-79.57872 43.70865),43.709,-79.579,0.041,13
40,POINT(-79.4032 43.72891),43.729,-79.403,0.021,14
43,POINT(-79.38775 43.6657),43.666,-79.388,0.036,15
45,POINT(-79.5175 43.75725),43.757,-79.517,0.053,16
47,POINT(-79.28874 43.73072),43.731,-79.289,0.02,17
49,POINT(-79.36338 43.65354),43.654,-79.363,0.022,18
50,POINT(-79.58938 43.71579),43.716,-79.589,0.025,19
51,POINT(-79.19797 43.79802),43.798,-79.198,0.033,20
55,POINT(-79.5716 43.69315),43.693,-79.572,0.065,75
57,POINT(-79.53874 43.73616),43.736,-79.539,0.062,30
59,POINT(-79.53076 43.71427),43.714,-79.531,0.022,387
61,POINT(-79.25645 43.78523),43.785,-79.256,0.021,49
62,POINT(-79.25875 43.78963),43.79,-79.259,0.035,87
65,POINT(-79.27515 43.74957),43.75,-79.275,0.029,54
106,POINT(-79.27515 43.83099),43.831,-79.275,0.021,18
107,POINT(-79.40672 43.74413),43.744,-79.407,0.025,18
109,POINT(-79.4905 43.76182),43.762,-79.49,0.058,26
110,POINT(-79.53506 43.71126),43.711,-79.535,0.023,26
111,POINT(-79.49467 43.77818),43.778,-79.495,0.043,26
112,POINT(-79.27157 43.76173),43.762,-79.272,0.231,31
114,POINT(-79.47808 43.70858),43.709,-79.478,0.035,93
116,POINT(-79.3865 43.6507),43.651,-79.386,0.042,134
118,POINT(-79.55838 43.60639),43.606,-79.558,0.024,191
119,POINT(-79.48426 43.73609),43.736,-79.484,0.066,43
123,POINT(-79.237 43.78952),43.79,-79.237,0.027,126
124,POINT(-79.49098 43.76341),43.763,-79.491,0.027,37
161,POINT(-79.35401 43.77357),43.774,-79.354,0.031,10
165,POINT(-79.50061 43.6122),43.612,-79.501,0.027,11
169,POINT(-79.37581 43.66057),43.661,-79.376,0.021,13
170,POINT(-79.56521 43.73718),43.737,-79.565,0.02,15
171,POINT(-79.55299 43.62901),43.629,-79.553,0.079,15
173,POINT(-79.39495 43.765),43.765,-79.395,0.047,16
175,POINT(-79.38362 43.64651),43.647,-79.384,0.021,17
176,POINT(-79.54336 43.63286),43.633,-79.543,0.064,19
177,POINT(-79.29576 43.70874),43.709,-79.296,0.024,20
213,POINT(-79.399 43.68086),43.681,-79.399,0.028,11
217,POINT(-79.36033 43.70283),43.703,-79.36,0.02,13
224,POINT(-79.36056 43.67571),43.676,-79.361,0.021,17
229,POINT(-79.53366 43.70815),43.708,-79.534,0.025,33
233,POINT(-79.46777 43.7726),43.773,-79.468,0.056,36
277,POINT(-79.37788 43.71558),43.716,-79.378,0.045,12
279,POINT(-79.31374 43.75824),43.758,-79.314,0.026,13
286,POINT(-79.29571 43.74514),43.745,-79.296,0.034,19
288,POINT(-79.57779 43.70699),43.707,-79.578,0.021,28
290,POINT(-79.48218 43.72656),43.727,-79.482,0.022,56
292,POINT(-79.51331 43.69914),43.699,-79.513,0.178,68
293,POINT(-79.4657 43.76333),43.763,-79.466,0.032,30
294,POINT(-79.50151 43.66482),43.665,-79.502,0.158,161
296,POINT(-79.35074 43.64953),43.65,-79.351,0.083,212
298,POINT(-79.29995 43.82538),43.825,-79.3,0.09,70
299,POINT(-79.46463 43.66568),43.666,-79.465,0.022,40
339,POINT(-79.33119 43.65788),43.658,-79.331,0.024,14
342,POINT(-79.48569 43.74169),43.742,-79.486,0.023,15
345,POINT(-79.52707 43.62149),43.621,-79.527,0.021,18
347,POINT(-79.43291 43.73298),43.733,-79.433,0.065,22
349,POINT(-79.4414 43.71668),43.717,-79.441,0.025,24
351,POINT(-79.42869 43.6424),43.642,-79.429,0.048,28
352,POINT(-79.29168 43.80243),43.802,-79.292,0.795,126
353,POINT(-79.42498 43.74117),43.741,-79.425,0.089,1490
356,POINT(-79.35201 43.71632),43.716,-79.352,0.087,89
401,POINT(-79.43086 43.72469),43.725,-79.431,0.02,10
402,POINT(-79.329 43.77484),43.775,-79.329,0.028,12
404,POINT(-79.2728 43.74399),43.744,-79.273,0.148,12
405,POINT(-79.41247 43.76723),43.767,-79.412,0.025,13
412,POINT(-79.53977 43.74026),43.74,-79.54,0.03,17
413,POINT(-79.488 43.70622),43.706,-79.488,0.024,17
414,POINT(-79.45416 43.63978),43.64,-79.454,0.023,20
418,POINT(-79.29138 43.73706),43.737,-79.291,0.09,26
420,POINT(-79.46659 43.76732),43.767,-79.467,0.029,28
421,POINT(-79.53358 43.7348),43.735,-79.534,0.066,46
423,POINT(-79.52974 43.61739),43.617,-79.53,0.055,469
425,POINT(-79.58438 43.71023),43.71,-79.584,1.753,50
429,POINT(-79.25321 43.7264),43.726,-79.253,0.077,31
464,POINT(-79.42993 43.77658),43.777,-79.43,0.058,10
468,POINT(-79.40973 43.70437),43.704,-79.41,0.042,12
469,POINT(-79.54721 43.63097),43.631,-79.547,0.029,13
471,POINT(-79.55233 43.63804),43.638,-79.552,0.038,15
474,POINT(-79.26692 43.80787),43.808,-79.267,0.025,16
476,POINT(-79.34991 43.79384),43.794,-79.35,0.057,18
481,POINT(-79.37875 43.72087),43.721,-79.379,0.04,25
483,POINT(-79.28976 43.78668),43.787,-79.29,0.099,26
485,POINT(-79.53719 43.71337),43.713,-79.537,0.022,126
487,POINT(-79.45239 43.65629),43.656,-79.452,0.044,67
491,POINT(-79.48523 43.73996),43.74,-79.485,0.048,33
